classifier,mean_fold_accuracy,overall_accuracy,mean_died_precision,mean_died_recall,mean_died_f1,mean_macro_f1
KNN (k=21),0.7107142857142856,0.7106227106227107,0.6416666666666667,0.2777777777777778,0.3766200466200466,0.5935579461189218
"KNN+ (VDM+sqrtIG, k=21)",0.7363756613756614,0.7362637362637363,0.7119047619047618,0.37777777777777777,0.47992590742590746,0.6510891485137312
DT (ID3),0.6376984126984127,0.6373626373626373,0.46593989343989345,0.5222222222222223,0.48553953734603894,0.6004451193351855
DT+ (max_depth=2),0.7029100529100529,0.7032967032967034,0.6357142857142857,0.31111111111111106,0.39499737105000265,0.5976359266892002
